Date;Weight_mean_sampled_g
18/11/2020;160
08/01/2021;195
11/02/2021;220
26/02/2021;238
26/03/2021;265
04/05/2021;319
19/05/2021;331
10/06/2021;366
30/06/2021;382
27/07/2021;400
18/08/2021;403
22/09/2021;410
28/10/2021;473
24/11/2021;554
17/12/2021;550
25/01/2022;563
02/02/2022;560
16/02/2022;573
24/03/2022;630
09/05/2022;690
