"Time","Temperature_C"
31/05/2021 13:,22.59
31/05/2021 14:,22.8375
31/05/2021 15:,22.9825
31/05/2021 16:,23.01
31/05/2021 17:,22.92
31/05/2021 18:,22.71
31/05/2021 19:,22.4625
31/05/2021 20:,22.2275
31/05/2021 21:,22.0425
31/05/2021 22:,21.8575
31/05/2021 23:,21.7125
01/06/2021 00:,21.59
01/06/2021 01:,21.47
01/06/2021 02:,21.3425
01/06/2021 03:,21.22
01/06/2021 04:,21.1075
01/06/2021 05:,20.99
01/06/2021 06:,20.96
01/06/2021 07:,21.05
01/06/2021 08:,21.26
01/06/2021 09:,21.5
01/06/2021 10:,21.83
01/06/2021 11:,22.19
01/06/2021 12:,22.475
01/06/2021 13:,22.795
01/06/2021 14:,23.015
01/06/2021 15:,23.1425
01/06/2021 16:,23.1625
01/06/2021 17:,23.085
01/06/2021 18:,22.9325
01/06/2021 19:,22.71
01/06/2021 20:,22.47
01/06/2021 21:,22.23
01/06/2021 22:,21.99
01/06/2021 23:,21.84
02/06/2021 00:,21.6525
02/06/2021 01:,21.495
02/06/2021 02:,21.4375
02/06/2021 03:,21.3475
02/06/2021 04:,21.245
02/06/2021 05:,21.205
02/06/2021 06:,21.2075
02/06/2021 07:,21.2925
02/06/2021 08:,21.41
02/06/2021 09:,21.62
02/06/2021 10:,21.77
02/06/2021 11:,21.98
02/06/2021 12:,22.145
02/06/2021 13:,22.2625
02/06/2021 14:,22.38
02/06/2021 15:,22.41
02/06/2021 16:,22.41
02/06/2021 17:,22.41
02/06/2021 18:,22.32
02/06/2021 19:,22.2
02/06/2021 20:,22.0725
02/06/2021 21:,21.8675
02/06/2021 22:,21.72
02/06/2021 23:,21.5925
03/06/2021 00:,21.4775
03/06/2021 01:,21.3525
03/06/2021 02:,21.23
03/06/2021 03:,21.2
03/06/2021 04:,21.11
03/06/2021 05:,21.04
03/06/2021 06:,20.9866666666667
03/06/2021 07:,21.08
03/06/2021 08:,21.32
03/06/2021 09:,21.62
03/06/2021 10:,21.95
03/06/2021 11:,22.265
03/06/2021 12:,22.6
03/06/2021 13:,22.945
03/06/2021 14:,23.185
03/06/2021 15:,23.315
03/06/2021 16:,23.38
03/06/2021 17:,23.315
03/06/2021 18:,23.13
03/06/2021 19:,22.89
03/06/2021 20:,22.65
03/06/2021 21:,22.41
03/06/2021 22:,22.17
03/06/2021 23:,21.99
04/06/2021 00:,21.81
04/06/2021 01:,21.63
04/06/2021 02:,21.505
04/06/2021 03:,21.38
04/06/2021 04:,21.26
04/06/2021 05:,21.145
04/06/2021 06:,21.105
04/06/2021 07:,21.22
04/06/2021 08:,21.4571428571429
04/06/2021 09:,21.7314285714286
04/06/2021 10:,22.07
04/06/2021 11:,22.4033333333333
04/06/2021 12:,22.7277777777778
04/06/2021 13:,23.01
04/06/2021 14:,23.195
04/06/2021 15:,23.315
04/06/2021 16:,23.37
04/06/2021 17:,23.26
04/06/2021 18:,23.06
04/06/2021 19:,22.87
04/06/2021 20:,22.65
04/06/2021 21:,22.44
04/06/2021 22:,22.26
04/06/2021 23:,22.11
05/06/2021 00:,21.99
05/06/2021 01:,21.865
05/06/2021 02:,21.74
05/06/2021 03:,21.62
05/06/2021 04:,21.51
05/06/2021 05:,21.45
05/06/2021 06:,21.44
05/06/2021 07:,21.44
05/06/2021 08:,21.5
05/06/2021 09:,21.625
05/06/2021 10:,21.745
05/06/2021 11:,21.81
05/06/2021 12:,21.88
05/06/2021 13:,21.995
05/06/2021 14:,22.1
05/06/2021 15:,22.16
05/06/2021 16:,22.18
05/06/2021 17:,22.23
05/06/2021 18:,22.22
05/06/2021 19:,22.17
05/06/2021 20:,22.11
05/06/2021 21:,21.99
05/06/2021 22:,21.875
05/06/2021 23:,21.81
06/06/2021 00:,21.745
06/06/2021 01:,21.66
06/06/2021 02:,21.595
06/06/2021 03:,21.56
06/06/2021 04:,21.54
06/06/2021 05:,21.485
06/06/2021 06:,21.45
06/06/2021 07:,21.505
06/06/2021 08:,21.625
06/06/2021 09:,21.78
06/06/2021 10:,21.96
06/06/2021 11:,22.23
06/06/2021 12:,22.5
06/06/2021 13:,22.68
06/06/2021 14:,22.83
06/06/2021 15:,22.85
06/06/2021 16:,22.77
06/06/2021 17:,22.685
06/06/2021 18:,22.575
06/06/2021 19:,22.45
06/06/2021 20:,22.34
06/06/2021 21:,22.23
06/06/2021 22:,22.105
06/06/2021 23:,21.99
07/06/2021 00:,21.935
07/06/2021 01:,21.87
07/06/2021 02:,21.805
07/06/2021 03:,21.745
07/06/2021 04:,21.685
07/06/2021 05:,21.67
07/06/2021 06:,21.67
07/06/2021 07:,21.74
07/06/2021 08:,21.875
07/06/2021 09:,22.12
07/06/2021 10:,22.455
07/06/2021 11:,22.795
07/06/2021 12:,23.12
07/06/2021 13:,23.41
07/06/2021 14:,23.645
07/06/2021 15:,23.795
07/06/2021 16:,23.795
07/06/2021 17:,23.675
07/06/2021 18:,23.49
07/06/2021 19:,23.215
07/06/2021 20:,22.92
07/06/2021 21:,22.67
07/06/2021 22:,22.485
07/06/2021 23:,22.345
08/06/2021 00:,22.17
08/06/2021 01:,21.995
08/06/2021 02:,21.88
08/06/2021 03:,21.81
08/06/2021 04:,21.74
08/06/2021 05:,21.685
08/06/2021 06:,21.7236363636364
08/06/2021 07:,21.8109090909091
08/06/2021 08:,21.8981818181818
08/06/2021 09:,22.0775
08/06/2021 10:,22.25
08/06/2021 11:,22.38
08/06/2021 12:,22.77
08/06/2021 13:,23.135
08/06/2021 14:,23.3522222222222
08/06/2021 15:,23.2411111111111
08/06/2021 16:,23.13
08/06/2021 17:,22.9
08/06/2021 18:,22.77
08/06/2021 19:,22.64
08/06/2021 20:,22.41
08/06/2021 21:,22.29
08/06/2021 22:,22.05
08/06/2021 23:,21.93
09/06/2021 00:,21.8
09/06/2021 01:,21.75
09/06/2021 02:,21.68
09/06/2021 03:,21.56
09/06/2021 04:,21.5
09/06/2021 05:,21.41
09/06/2021 06:,21.32
09/06/2021 07:,21.45
09/06/2021 08:,21.68
09/06/2021 09:,25.32
09/06/2021 10:,24.22
09/06/2021 11:,25.41
09/06/2021 12:,24.97
09/06/2021 13:,24.53
09/06/2021 14:,24.09
09/06/2021 15:,24.07
09/06/2021 16:,24.09
09/06/2021 17:,23.97
09/06/2021 18:,23.85
09/06/2021 19:,23.59
09/06/2021 20:,23.26
09/06/2021 21:,23.01
09/06/2021 22:,22.8
09/06/2021 23:,22.65
10/06/2021 00:,22.42
10/06/2021 01:,22.29
10/06/2021 02:,22.17
10/06/2021 03:,21.99
10/06/2021 04:,21.84
10/06/2021 05:,21.74
10/06/2021 06:,21.69
10/06/2021 07:,21.69
10/06/2021 08:,21.93
10/06/2021 09:,22.21
10/06/2021 10:,22.53
10/06/2021 11:,23.0118181818182
10/06/2021 12:,23.4936363636364
10/06/2021 13:,23.9754545454545
10/06/2021 14:,24.4572727272727
10/06/2021 15:,24.9390909090909
10/06/2021 16:,24.52
10/06/2021 17:,23.795
10/06/2021 18:,23.61
10/06/2021 19:,23.37
10/06/2021 20:,23.13
10/06/2021 21:,22.89
10/06/2021 22:,22.65
10/06/2021 23:,22.41
11/06/2021 00:,22.23
11/06/2021 01:,22.105
11/06/2021 02:,21.96
11/06/2021 03:,21.82
11/06/2021 04:,21.72
11/06/2021 05:,21.62
11/06/2021 06:,21.57
11/06/2021 07:,21.9375
11/06/2021 08:,22.6525
11/06/2021 09:,23.078125
11/06/2021 10:,23.214375
11/06/2021 11:,23.350625
11/06/2021 12:,23.487
11/06/2021 13:,23.624
11/06/2021 14:,23.759375
11/06/2021 15:,23.895625
11/06/2021 16:,24.031875
11/06/2021 17:,23.915
11/06/2021 18:,23.555
11/06/2021 19:,23.285
11/06/2021 20:,23.1
11/06/2021 21:,22.89
11/06/2021 22:,22.7
11/06/2021 23:,22.52
12/06/2021 00:,22.35
12/06/2021 01:,22.175
12/06/2021 02:,21.995
12/06/2021 03:,21.865
12/06/2021 04:,21.734
12/06/2021 05:,21.602
12/06/2021 06:,21.47
12/06/2021 07:,21.56
12/06/2021 08:,21.81
12/06/2021 09:,22.06
12/06/2021 10:,22.41
12/06/2021 11:,22.77
12/06/2021 12:,23.13
12/06/2021 13:,23.37
12/06/2021 14:,23.62
12/06/2021 15:,23.76
12/06/2021 16:,23.85
12/06/2021 17:,23.74
12/06/2021 18:,23.61
12/06/2021 19:,23.37
12/06/2021 20:,23.13
12/06/2021 21:,22.89
12/06/2021 22:,22.67
12/06/2021 23:,22.53
13/06/2021 00:,22.41
13/06/2021 01:,22.28
13/06/2021 02:,22.1
13/06/2021 03:,21.93
13/06/2021 04:,21.81
13/06/2021 05:,21.72
13/06/2021 06:,21.68
13/06/2021 07:,21.8
13/06/2021 08:,22.04
13/06/2021 09:,22.29
13/06/2021 10:,22.53
13/06/2021 11:,22.87
13/06/2021 12:,23.15
13/06/2021 13:,23.49
13/06/2021 14:,23.73
13/06/2021 15:,23.86
13/06/2021 16:,23.87
13/06/2021 17:,23.85
13/06/2021 18:,23.63
13/06/2021 19:,23.37
13/06/2021 20:,23.13
13/06/2021 21:,22.9
13/06/2021 22:,22.77
13/06/2021 23:,22.59
14/06/2021 00:,22.41
14/06/2021 01:,22.29
14/06/2021 02:,22.17
14/06/2021 03:,22.04
14/06/2021 04:,21.93
14/06/2021 05:,21.81
14/06/2021 06:,21.8
14/06/2021 07:,21.9
14/06/2021 08:,22.05
14/06/2021 09:,22.4
14/06/2021 10:,22.66
14/06/2021 11:,23.01
14/06/2021 12:,23.45
14/06/2021 13:,23.73
14/06/2021 14:,23.98
14/06/2021 15:,24.1
14/06/2021 16:,24.21
14/06/2021 17:,24.11
14/06/2021 18:,23.97
14/06/2021 19:,23.76
14/06/2021 20:,23.49
14/06/2021 21:,23.25
14/06/2021 22:,23.13
14/06/2021 23:,22.89
15/06/2021 00:,22.77
15/06/2021 01:,22.53
15/06/2021 02:,22.41
15/06/2021 03:,22.29
15/06/2021 04:,22.17
15/06/2021 05:,22.05
15/06/2021 06:,22.05
15/06/2021 07:,22.07
15/06/2021 08:,22.21
15/06/2021 09:,22.43
15/06/2021 10:,22.65
15/06/2021 11:,22.9
15/06/2021 12:,23.25
15/06/2021 13:,23.61
15/06/2021 14:,23.86
15/06/2021 15:,24.09
15/06/2021 16:,24.21
15/06/2021 17:,24.1
15/06/2021 18:,23.98
15/06/2021 19:,23.74
15/06/2021 20:,23.49
15/06/2021 21:,23.25
15/06/2021 22:,23.13
15/06/2021 23:,22.93
16/06/2021 00:,22.77
16/06/2021 01:,22.65
16/06/2021 02:,22.53
16/06/2021 03:,22.42
16/06/2021 04:,22.41
16/06/2021 05:,22.28
16/06/2021 06:,22.18
16/06/2021 07:,22.28
16/06/2021 08:,22.41
16/06/2021 09:,22.64
16/06/2021 10:,22.89
16/06/2021 11:,23.25
16/06/2021 12:,23.61
16/06/2021 13:,23.85
16/06/2021 14:,23.98
16/06/2021 15:,24.09
16/06/2021 16:,24.1
16/06/2021 17:,24.09
16/06/2021 18:,23.87
16/06/2021 19:,23.66
16/06/2021 20:,23.49
16/06/2021 21:,23.25
16/06/2021 22:,23.01
16/06/2021 23:,22.89
17/06/2021 00:,22.76
17/06/2021 01:,22.65
17/06/2021 02:,22.52
17/06/2021 03:,22.41
17/06/2021 04:,22.29
17/06/2021 05:,22.23
17/06/2021 06:,22.17
17/06/2021 07:,22.29
17/06/2021 08:,22.52
17/06/2021 09:,22.65
17/06/2021 10:,23.01
17/06/2021 11:,23.37
17/06/2021 12:,23.73
17/06/2021 13:,23.98
17/06/2021 14:,24.21
17/06/2021 15:,24.34
17/06/2021 16:,24.34
17/06/2021 17:,24.24
17/06/2021 18:,24.09
17/06/2021 19:,23.86
17/06/2021 20:,23.61
17/06/2021 21:,23.35
17/06/2021 22:,23.13
17/06/2021 23:,22.89
18/06/2021 00:,22.77
18/06/2021 01:,22.65
18/06/2021 02:,22.53
18/06/2021 03:,22.41
18/06/2021 04:,22.29
18/06/2021 05:,22.2
18/06/2021 06:,22.17
18/06/2021 07:,22.17
18/06/2021 08:,22.25
18/06/2021 09:,22.33
18/06/2021 10:,22.65
18/06/2021 11:,23.01
18/06/2021 12:,23.37
18/06/2021 13:,23.63
18/06/2021 14:,23.86
18/06/2021 15:,24.06
18/06/2021 16:,24.1
18/06/2021 17:,24.09
18/06/2021 18:,23.97
18/06/2021 19:,23.73
18/06/2021 20:,23.49
18/06/2021 21:,23.25
18/06/2021 22:,23.01
18/06/2021 23:,22.88
19/06/2021 00:,22.65
19/06/2021 01:,22.53
19/06/2021 02:,22.41
19/06/2021 03:,22.29
19/06/2021 04:,22.17
19/06/2021 05:,22.16
19/06/2021 06:,22.07
19/06/2021 07:,22.05
19/06/2021 08:,22.06
19/06/2021 09:,22.16
19/06/2021 10:,22.41
19/06/2021 11:,22.69
19/06/2021 12:,22.97
19/06/2021 13:,23.25
19/06/2021 14:,23.49
19/06/2021 15:,23.73
19/06/2021 16:,23.81
19/06/2021 17:,23.74
19/06/2021 18:,23.61
19/06/2021 19:,23.48
19/06/2021 20:,23.25
19/06/2021 21:,23.01
19/06/2021 22:,22.89
19/06/2021 23:,22.74
20/06/2021 00:,22.54
20/06/2021 01:,22.41
20/06/2021 02:,22.3
20/06/2021 03:,22.18
20/06/2021 04:,22.05
20/06/2021 05:,21.97
20/06/2021 06:,21.93
20/06/2021 07:,21.93
20/06/2021 08:,22.05
20/06/2021 09:,22.17
20/06/2021 10:,22.22
20/06/2021 11:,22.42
20/06/2021 12:,22.65
20/06/2021 13:,22.89
20/06/2021 14:,23.01
20/06/2021 15:,23.23
20/06/2021 16:,23.25
20/06/2021 17:,23.25
20/06/2021 18:,23.13
20/06/2021 19:,23.01
20/06/2021 20:,22.81
20/06/2021 21:,22.65
20/06/2021 22:,22.42
20/06/2021 23:,22.3
21/06/2021 00:,22.29
21/06/2021 01:,22.17
21/06/2021 02:,22.05
21/06/2021 03:,22.05
21/06/2021 04:,21.94
21/06/2021 05:,21.93
21/06/2021 06:,21.92
21/06/2021 07:,21.94
21/06/2021 08:,22.17
21/06/2021 09:,22.41
21/06/2021 10:,22.65
21/06/2021 11:,23.01
21/06/2021 12:,23.25
21/06/2021 13:,23.36
21/06/2021 14:,23.49
21/06/2021 15:,23.65
21/06/2021 16:,23.82
21/06/2021 17:,23.85
21/06/2021 18:,23.73
21/06/2021 19:,23.61
21/06/2021 20:,23.38
21/06/2021 21:,23.25
21/06/2021 22:,23.13
21/06/2021 23:,23.01
22/06/2021 00:,22.88
22/06/2021 01:,22.76
22/06/2021 02:,22.65
22/06/2021 03:,22.53
22/06/2021 04:,22.42
22/06/2021 05:,22.41
22/06/2021 06:,22.41
22/06/2021 07:,22.41
22/06/2021 08:,22.53
22/06/2021 09:,22.65
22/06/2021 10:,22.99
22/06/2021 11:,23.37
22/06/2021 12:,23.73
22/06/2021 13:,24.1
22/06/2021 14:,24.34
22/06/2021 15:,24.58
22/06/2021 16:,24.69
22/06/2021 17:,24.63
22/06/2021 18:,24.45
22/06/2021 19:,24.22
22/06/2021 20:,23.87
22/06/2021 21:,23.61
22/06/2021 22:,23.37
22/06/2021 23:,23.13
23/06/2021 00:,23.02
23/06/2021 01:,22.78
23/06/2021 02:,22.65
23/06/2021 03:,22.53
23/06/2021 04:,22.41
23/06/2021 05:,22.21
23/06/2021 06:,22.17
23/06/2021 07:,22.17
23/06/2021 08:,22.33
23/06/2021 09:,22.49
23/06/2021 10:,22.7775
23/06/2021 11:,23.07
23/06/2021 12:,23.41
23/06/2021 13:,23.7625
23/06/2021 14:,23.94
23/06/2021 15:,23.9775
23/06/2021 16:,24.0475
23/06/2021 17:,23.965
23/06/2021 18:,23.78
23/06/2021 19:,23.64
23/06/2021 20:,23.43
23/06/2021 21:,23.28
23/06/2021 22:,23.07
23/06/2021 23:,22.92
24/06/2021 00:,22.8
24/06/2021 01:,22.68
24/06/2021 02:,22.56
24/06/2021 03:,22.44
24/06/2021 04:,22.32
24/06/2021 05:,22.23
24/06/2021 06:,22.255
24/06/2021 07:,22.3675
24/06/2021 08:,22.505
24/06/2021 09:,22.8025
24/06/2021 10:,22.98
24/06/2021 11:,23.1
24/06/2021 12:,23.4075
24/06/2021 13:,23.7625
24/06/2021 14:,24.03
24/06/2021 15:,24.1875
24/06/2021 16:,24.13
24/06/2021 17:,24.085
24/06/2021 18:,23.9075
24/06/2021 19:,23.67
24/06/2021 20:,23.43
24/06/2021 21:,23.19
24/06/2021 22:,22.95
24/06/2021 23:,22.7175
25/06/2021 00:,22.5625
25/06/2021 01:,22.35
25/06/2021 02:,22.2
25/06/2021 03:,22.0725
25/06/2021 04:,21.95
25/06/2021 05:,21.8375
25/06/2021 06:,21.8025
25/06/2021 07:,21.83
25/06/2021 08:,21.9975
25/06/2021 09:,22.32
25/06/2021 10:,22.68
25/06/2021 11:,23.0025
25/06/2021 12:,23.35
25/06/2021 13:,23.665
25/06/2021 14:,23.95
25/06/2021 15:,24.1625
25/06/2021 16:,24.2175
25/06/2021 17:,24.22
25/06/2021 18:,24.0325
25/06/2021 19:,23.79
25/06/2021 20:,23.5125
25/06/2021 21:,23.2975
25/06/2021 22:,23.07
25/06/2021 23:,22.8375
26/06/2021 00:,22.6825
26/06/2021 01:,22.5525
26/06/2021 02:,22.4
26/06/2021 03:,22.2325
26/06/2021 04:,22.085
26/06/2021 05:,21.99
26/06/2021 06:,21.94
26/06/2021 07:,22.02
26/06/2021 08:,22.23
26/06/2021 09:,22.47
26/06/2021 10:,22.725
26/06/2021 11:,23.045
26/06/2021 12:,23.4
26/06/2021 13:,23.7075
26/06/2021 14:,23.975
26/06/2021 15:,24.1675
26/06/2021 16:,24.21
26/06/2021 17:,24.1125
26/06/2021 18:,23.9075
26/06/2021 19:,23.655
26/06/2021 20:,23.3575
26/06/2021 21:,23.1675
26/06/2021 22:,22.95
26/06/2021 23:,22.8
27/06/2021 00:,22.68
27/06/2021 01:,22.5
27/06/2021 02:,22.33
27/06/2021 03:,22.2
27/06/2021 04:,22.08
27/06/2021 05:,21.96
27/06/2021 06:,21.93
27/06/2021 07:,22.02
27/06/2021 08:,22.23
27/06/2021 09:,22.47
27/06/2021 10:,22.8
27/06/2021 11:,23.16
27/06/2021 12:,23.52
27/06/2021 13:,23.805
27/06/2021 14:,24.065
27/06/2021 15:,24.2275
27/06/2021 16:,24.32
27/06/2021 17:,24.25
27/06/2021 18:,24.0475
27/06/2021 19:,23.795
27/06/2021 20:,23.5575
27/06/2021 21:,23.305
27/06/2021 22:,23.0375
27/06/2021 23:,22.82
28/06/2021 00:,22.59
28/06/2021 01:,22.44
28/06/2021 02:,22.2975
28/06/2021 03:,22.1775
28/06/2021 04:,22.0675
28/06/2021 05:,21.9575
28/06/2021 06:,21.93
28/06/2021 07:,22.02
28/06/2021 08:,22.23
28/06/2021 09:,22.47
28/06/2021 10:,22.77
28/06/2021 11:,23.06
28/06/2021 12:,23.4
28/06/2021 13:,23.7525
28/06/2021 14:,23.9375
28/06/2021 15:,24.0675
28/06/2021 16:,24.115
28/06/2021 17:,24.0975
28/06/2021 18:,23.9475
28/06/2021 19:,23.705
28/06/2021 20:,23.4825
28/06/2021 21:,23.295
28/06/2021 22:,23.07
28/06/2021 23:,22.9125
29/06/2021 00:,22.73
29/06/2021 01:,22.5825
29/06/2021 02:,22.5275
29/06/2021 03:,22.4375
29/06/2021 04:,22.3725
29/06/2021 05:,22.3
29/06/2021 06:,22.2875
29/06/2021 07:,22.38
29/06/2021 08:,22.59
29/06/2021 09:,22.83
29/06/2021 10:,23.01
29/06/2021 11:,23.2075
29/06/2021 12:,23.4325
29/06/2021 13:,23.7525
29/06/2021 14:,24.0275
29/06/2021 15:,24.1875
29/06/2021 16:,24.3025
29/06/2021 17:,24.2475
29/06/2021 18:,24.1225
29/06/2021 19:,23.91
29/06/2021 20:,23.67
29/06/2021 21:,23.4375
29/06/2021 22:,23.2825
29/06/2021 23:,23.07
30/06/2021 00:,22.92
30/06/2021 01:,22.7925
30/06/2021 02:,22.625
30/06/2021 03:,22.4675
30/06/2021 04:,22.3475
30/06/2021 05:,22.29
30/06/2021 06:,22.2425
30/06/2021 07:,22.3575
30/06/2021 08:,22.4975
30/06/2021 09:,22.785
30/06/2021 10:,23.065
30/06/2021 11:,23.4075
30/06/2021 12:,23.77
30/06/2021 13:,24.13
30/06/2021 14:,24.4
30/06/2021 15:,24.55
30/06/2021 16:,24.58
30/06/2021 17:,24.49
30/06/2021 18:,24.31
30/06/2021 19:,24.05
30/06/2021 20:,23.7925
30/06/2021 21:,23.4675
30/06/2021 22:,23.1925
30/06/2021 23:,22.95
01/07/2021 00:,22.71
01/07/2021 01:,22.47
01/07/2021 02:,22.29
01/07/2021 03:,22.0925
01/07/2021 04:,21.95
01/07/2021 05:,21.83
01/07/2021 06:,21.725
01/07/2021 07:,21.7825
01/07/2021 08:,21.99
01/07/2021 09:,22.2975
01/07/2021 10:,22.605
01/07/2021 11:,22.995
01/07/2021 12:,23.3775
01/07/2021 13:,23.665
01/07/2021 14:,23.8275
01/07/2021 15:,23.9575
01/07/2021 16:,24.065
01/07/2021 17:,24.0225
01/07/2021 18:,23.8875
01/07/2021 19:,23.595
01/07/2021 20:,23.315
01/07/2021 21:,23.07
01/07/2021 22:,22.8375
01/07/2021 23:,22.6675
02/07/2021 00:,22.465
02/07/2021 01:,22.3125
02/07/2021 02:,22.13
02/07/2021 03:,21.9675
02/07/2021 04:,21.8325
02/07/2021 05:,21.7175
02/07/2021 06:,21.69
02/07/2021 07:,21.78
02/07/2021 08:,21.99
02/07/2021 09:,22.23
02/07/2021 10:,22.56
02/07/2021 11:,22.9275
02/07/2021 12:,23.29
02/07/2021 13:,23.6425
02/07/2021 14:,23.91
02/07/2021 15:,24.06
02/07/2021 16:,24.0975
02/07/2021 17:,24.025
02/07/2021 18:,23.8875
02/07/2021 19:,23.67
02/07/2021 20:,23.3475
02/07/2021 21:,23.08
02/07/2021 22:,22.9225
02/07/2021 23:,22.71
03/07/2021 00:,22.5075
03/07/2021 01:,22.3325
03/07/2021 02:,22.1925
03/07/2021 03:,22.07
03/07/2021 04:,21.95
03/07/2021 05:,21.83
03/07/2021 06:,21.8075
03/07/2021 07:,21.8925
03/07/2021 08:,22.1075
03/07/2021 09:,22.35
03/07/2021 10:,22.68
03/07/2021 11:,23.01
03/07/2021 12:,23.39
03/07/2021 13:,23.7075
03/07/2021 14:,23.9675
03/07/2021 15:,24.1575
03/07/2021 16:,24.2075
03/07/2021 17:,24.12
03/07/2021 18:,23.9175
03/07/2021 19:,23.6725
03/07/2021 20:,23.4375
03/07/2021 21:,23.1925
03/07/2021 22:,23.04
03/07/2021 23:,22.875
04/07/2021 00:,22.7025
04/07/2021 01:,22.57
04/07/2021 02:,22.5325
04/07/2021 03:,22.44
04/07/2021 04:,22.3575
04/07/2021 05:,22.3025
04/07/2021 06:,22.29
04/07/2021 07:,22.305
04/07/2021 08:,22.475
04/07/2021 09:,22.71
04/07/2021 10:,22.95
04/07/2021 11:,23.19
04/07/2021 12:,23.34
04/07/2021 13:,23.4675
04/07/2021 14:,23.6725
04/07/2021 15:,23.91
04/07/2021 16:,24.0675
04/07/2021 17:,24.1
04/07/2021 18:,24.0025
04/07/2021 19:,23.79
04/07/2021 20:,23.55
04/07/2021 21:,23.4
04/07/2021 22:,23.235
04/07/2021 23:,23.055
05/07/2021 00:,22.92
05/07/2021 01:,22.7925
05/07/2021 02:,22.6025
05/07/2021 03:,22.445
05/07/2021 04:,22.32
05/07/2021 05:,22.2
05/07/2021 06:,22.17
05/07/2021 07:,22.26
05/07/2021 08:,22.38
05/07/2021 09:,22.59
05/07/2021 10:,22.92
05/07/2021 11:,23.28
05/07/2021 12:,23.64
05/07/2021 13:,23.9925
05/07/2021 14:,24.1925
05/07/2021 15:,24.32
05/07/2021 16:,24.425
05/07/2021 17:,24.3675
05/07/2021 18:,24.1675
05/07/2021 19:,23.9225
05/07/2021 20:,23.6725
05/07/2021 21:,23.43
05/07/2021 22:,23.19
05/07/2021 23:,22.9575
06/07/2021 00:,22.8025
06/07/2021 01:,22.5975
06/07/2021 02:,22.4425
06/07/2021 03:,22.32
06/07/2021 04:,22.2
06/07/2021 05:,22.08
06/07/2021 06:,22.0425
06/07/2021 07:,22.1075
06/07/2021 08:,22.25
06/07/2021 09:,22.545
06/07/2021 10:,22.8325
06/07/2021 11:,23.2525
06/07/2021 12:,23.64
06/07/2021 13:,24
06/07/2021 14:,24.2175
06/07/2021 15:,24.3275
06/07/2021 16:,24.4325
06/07/2021 17:,24.37
06/07/2021 18:,24.22
06/07/2021 19:,23.94
06/07/2021 20:,23.6725
06/07/2021 21:,23.43
06/07/2021 22:,23.2275
06/07/2021 23:,23.0525
07/07/2021 00:,22.9125
07/07/2021 01:,22.754
07/07/2021 02:,22.655
07/07/2021 03:,22.585
07/07/2021 04:,22.465
07/07/2021 05:,22.345
07/07/2021 06:,22.285
07/07/2021 07:,22.345
07/07/2021 08:,22.53
07/07/2021 09:,22.77
07/07/2021 10:,23.11
07/07/2021 11:,23.535
07/07/2021 12:,23.915
07/07/2021 13:,24.27
07/07/2021 14:,24.575
07/07/2021 15:,24.76
07/07/2021 16:,24.82
07/07/2021 17:,24.78
07/07/2021 18:,24.635
07/07/2021 19:,24.375
07/07/2021 20:,24.1
07/07/2021 21:,23.86
07/07/2021 22:,23.67
07/07/2021 23:,23.49
08/07/2021 00:,23.315
08/07/2021 01:,23.19
08/07/2021 02:,23.07
08/07/2021 03:,22.95
08/07/2021 04:,22.835
08/07/2021 05:,22.765
08/07/2021 06:,22.7
08/07/2021 07:,22.65
08/07/2021 08:,22.635
08/07/2021 09:,22.695
08/07/2021 10:,22.895
08/07/2021 11:,23.255
08/07/2021 12:,23.675
08/07/2021 13:,24.035
08/07/2021 14:,24.3
08/07/2021 15:,24.425
08/07/2021 16:,24.46
08/07/2021 17:,24.46
08/07/2021 18:,24.38
08/07/2021 19:,24.195
08/07/2021 20:,23.975
08/07/2021 21:,23.795
08/07/2021 22:,23.665
08/07/2021 23:,23.49
09/07/2021 00:,23.315
09/07/2021 01:,23.13
09/07/2021 02:,22.895
09/07/2021 03:,22.715
09/07/2021 04:,22.53
09/07/2021 05:,22.35
09/07/2021 06:,22.29
09/07/2021 07:,22.305
09/07/2021 08:,22.425
09/07/2021 09:,22.65
09/07/2021 10:,22.92
09/07/2021 11:,23.25
09/07/2021 12:,23.62
09/07/2021 13:,23.955
09/07/2021 14:,24.22
09/07/2021 15:,24.35
09/07/2021 16:,24.35
09/07/2021 17:,24.275
09/07/2021 18:,24.095
09/07/2021 19:,23.855
09/07/2021 20:,23.585
09/07/2021 21:,23.345
09/07/2021 22:,23.13
09/07/2021 23:,22.895
10/07/2021 00:,22.71
10/07/2021 01:,22.525
10/07/2021 02:,22.35
10/07/2021 03:,22.225
10/07/2021 04:,22.06
10/07/2021 05:,21.89
10/07/2021 06:,21.81
10/07/2021 07:,21.805
10/07/2021 08:,21.925
10/07/2021 09:,22.165
10/07/2021 10:,22.47
10/07/2021 11:,22.84
10/07/2021 12:,23.26
10/07/2021 13:,23.63
10/07/2021 14:,23.875
10/07/2021 15:,24.055
10/07/2021 16:,24.13
10/07/2021 17:,24.11
10/07/2021 18:,23.975
10/07/2021 19:,23.735
10/07/2021 20:,23.49
10/07/2021 21:,23.25
10/07/2021 22:,23.01
10/07/2021 23:,22.785
11/07/2021 00:,22.605
11/07/2021 01:,22.465
11/07/2021 02:,22.285
11/07/2021 03:,22.11
11/07/2021 04:,21.99
11/07/2021 05:,21.87
11/07/2021 06:,21.81
11/07/2021 07:,21.87
11/07/2021 08:,22.05
11/07/2021 09:,22.29
11/07/2021 10:,22.59
